ball	 paddle	timestamp
[641.75070390040332, 398.70731140793669, 1341254827.8548391]	[728.38834764831836, 311.61165235168153, 1341254827.8549271]
[641.75070390040332, 398.70731140793669, 1341254827.8633571]	[728.38834764831836, 311.61165235168153, 1341254827.8634441]
[641.75070390040332, 398.70731140793669, 1341254827.880497]	[728.38834764831836, 311.61165235168153, 1341254827.88059]
[641.75070390040332, 398.70731140793669, 1341254827.8965039]	[728.38834764831836, 311.61165235168153, 1341254827.8965969]
[641.75070390040332, 398.70731140793669, 1341254827.9129369]	[728.38834764831836, 311.61165235168153, 1341254827.9130499]
[641.75070390040332, 398.70731140793669, 1341254827.929322]	[728.38834764831836, 311.61165235168153, 1341254827.9294341]
[641.75070390040332, 398.70731140793669, 1341254827.9456401]	[728.38834764831836, 311.61165235168153, 1341254827.945739]
[641.75070390040332, 398.70731140793669, 1341254827.9623899]	[728.38834764831836, 311.61165235168153, 1341254827.9625199]
[641.75070390040332, 398.70731140793669, 1341254827.978457]	[728.38834764831836, 311.61165235168153, 1341254827.9785841]
[641.75070390040332, 398.70731140793669, 1341254827.9952979]	[728.38834764831836, 311.61165235168153, 1341254827.9954281]
[641.75070390040332, 398.70731140793669, 1341254828.0113461]	[728.38834764831836, 311.61165235168153, 1341254828.011457]
[641.75070390040332, 398.70731140793669, 1341254828.028178]	[728.38834764831836, 311.61165235168153, 1341254828.0283079]
[641.75070390040332, 398.70731140793669, 1341254828.044234]	[728.38834764831836, 311.61165235168153, 1341254828.0443461]
[641.75070390040332, 398.70731140793669, 1341254828.0607281]	[728.38834764831836, 311.61165235168153, 1341254828.060854]
[641.75070390040332, 398.70731140793669, 1341254828.0769811]	[728.38834764831836, 311.61165235168153, 1341254828.0770929]
[641.75070390040332, 398.70731140793669, 1341254828.093822]	[728.38834764831836, 311.61165235168153, 1341254828.093951]
[641.75070390040332, 398.70731140793669, 1341254828.1099789]	[728.38834764831836, 311.61165235168153, 1341254828.110096]
[641.75070390040332, 398.70731140793669, 1341254828.1291599]	[728.38834764831836, 311.61165235168153, 1341254828.1292739]
[641.75070390040332, 398.70731140793669, 1341254828.1427419]	[728.38834764831836, 311.61165235168153, 1341254828.1428781]
[641.75070390040332, 398.70731140793669, 1341254828.1591389]	[728.38834764831836, 311.61165235168153, 1341254828.1592441]
[641.75070390040332, 398.70731140793669, 1341254828.175509]	[728.38834764831836, 311.61165235168153, 1341254828.175621]
[641.75070390040332, 398.70731140793669, 1341254828.1921229]	[728.38834764831836, 311.61165235168153, 1341254828.192255]
[641.75070390040332, 398.70731140793669, 1341254828.2086511]	[728.38834764831836, 311.61165235168153, 1341254828.208791]
[641.75070390040332, 398.70731140793669, 1341254828.2251561]	[728.38834764831836, 311.61165235168153, 1341254828.2252851]
[641.75070390040332, 398.70731140793669, 1341254828.24122]	[728.38834764831836, 311.61165235168153, 1341254828.2414241]
[641.75070390040332, 398.70731140793669, 1341254828.2577901]	[728.38834764831836, 311.61165235168153, 1341254828.2579219]
[641.75070390040332, 398.70731140793669, 1341254828.2890041]	[728.38834764831836, 311.61165235168153, 1341254828.289093]
[644.90699222178364, 396.37676430321426, 1341254828.306994]	[728.38834764831836, 311.61165235168153, 1341254828.3071001]
[647.888632111162, 394.17517449139518, 1341254828.3241739]	[728.38834764831836, 311.61165235168153, 1341254828.3243451]
[650.7502671344821, 392.06219413621193, 1341254828.3400509]	[728.38834764831836, 311.61165235168153, 1341254828.3401761]
[653.69629376543799, 389.88690052038464, 1341254828.3566949]	[728.38834764831836, 311.61165235168153, 1341254828.3568189]
[656.5614310404751, 387.77133416488459, 1341254828.3728509]	[728.38834764831836, 311.61165235168153, 1341254828.3729849]
[659.48589561567996, 385.61196158715188, 1341254828.389401]	[728.38834764831836, 311.61165235168153, 1341254828.3895271]
[662.38753226101949, 383.46944474642339, 1341254828.4057989]	[728.38834764831836, 311.61165235168153, 1341254828.405925]
[665.30507672439842, 381.31518185606342, 1341254828.422282]	[728.38834764831836, 311.61165235168153, 1341254828.4224091]
[668.17607921616604, 379.19528472894876, 1341254828.4385099]	[728.38834764831836, 311.61165235168153, 1341254828.438638]
[671.08121811322246, 377.05018188790336, 1341254828.454921]	[728.38834764831836, 311.61165235168153, 1341254828.4550459]
[673.98002763970624, 374.90975254140653, 1341254828.4712951]	[728.38834764831836, 311.61165235168153, 1341254828.47142]
[676.84748568395332, 372.79247257123893, 1341254828.487463]	[728.38834764831836, 311.61165235168153, 1341254828.4875779]
[679.80325954559112, 370.60998177380702, 1341254828.504184]	[728.38834764831836, 311.61165235168153, 1341254828.5042939]
[682.74008749131485, 368.44148030338988, 1341254828.5207601]	[728.38834764831836, 311.61165235168153, 1341254828.52087]
[685.58809327000176, 366.33856353980082, 1341254828.5368781]	[728.38834764831836, 311.61165235168153, 1341254828.537003]
[688.51572253049312, 364.17685421479393, 1341254828.553432]	[728.38834764831836, 311.61165235168153, 1341254828.5535591]
